singer;genre;album;year;track;duration;collection
Paul McCartney;Pop/Rock;New;2013;Save Us;159;Coll33
Paul McCartney;Pop/Rock;New;2013;Alligator;207;0
Paul McCartney;Pop/Rock;New;2013;On My Way to Work;223;0
Paul McCartney;Pop/Rock;New;2013;Queenie Eye;228;Coll52
Paul McCartney;Pop/Rock;New;2013;Early Days;248;Coll33
Paul McCartney;Pop/Rock;New;2013;New;177;Coll9
Paul McCartney;Pop/Rock;New;2013;Appreciate;269;Coll21
Paul McCartney;Pop/Rock;New;2013;Everybody Out There;201;0
Paul McCartney;Pop/Rock;New;2013;Hosanna;210;0
Paul McCartney;Pop/Rock;New;2013;I Can Bet;202;Coll9
Paul McCartney;Pop/Rock;New;2013;Looking at Her;185;Coll52
Paul McCartney;Pop/Rock;New;2013;Road;460;Coll1
Paul McCartney;Soul;Egypt Station;2018;Opening Station;41;0
Paul McCartney;Soul;Egypt Station;2018;I Don`t Know;266;0
Paul McCartney;Soul;Egypt Station;2018;Come On to Me;250;0
Paul McCartney;Soul;Egypt Station;2018;Happy With You;214;0
Paul McCartney;Soul;Egypt Station;2018;Who Cares;193;0
Paul McCartney;Soul;Egypt Station;2018;Fuh You;203;Coll21
Paul McCartney;Soul;Egypt Station;2018;Confidante;184;Coll3
Paul McCartney;Soul;Egypt Station;2018;People Want Peace;179;Coll1
Paul McCartney;Soul;Egypt Station;2018;Hand in Hand;155;0
Paul McCartney;Soul;Egypt Station;2018;Dominoes;302;Coll33
Paul McCartney;Soul;Egypt Station;2018;Back in Brazil;200;0
Paul McCartney;Soul;Egypt Station;2018;Do It Now;197;0
Paul McCartney;Soul;Egypt Station;2018;Caesar Rock;209;0
Paul McCartney;Soul;Egypt Station;2018;Despite Repeated Warnings;417;0
Paul McCartney;Soul;Egypt Station;2018;Station II;46;Coll33
Paul McCartney;Soul;Egypt Station;2018;Hunt You Down/Naked/C-Link;382;0
Rod Stewart;Blues;Time;2014;She Makes Me Happy;224;0
Rod Stewart;Blues;Time;2014;Can`t Stop Me Now;266;0
Rod Stewart;Blues;Time;2014;It`s Over;259;0
Rod Stewart;Blues;Time;2014;Brighton Beach;265;0
Rod Stewart;Blues;Time;2014;Beautiful Morning;239;0
Rod Stewart;Blues;Time;2014;Live the Life;266;0
Rod Stewart;Blues;Time;2014;Finest Woman;234;0
Rod Stewart;Blues;Time;2014;Time;267;0
Rod Stewart;Blues;Time;2014;Picture In a Frame;173;0
Rod Stewart;Blues;Time;2014;Sexual Religion;285;Coll52
Rod Stewart;Blues;Time;2014;Make Love To Me Tonight;225;0
Rod Stewart;Blues;Time;2014;Pure Love;311;Coll21
Sting;Folk;The Last Ship;2013;The Last Ship;230;0
Sting;Folk;The Last Ship;2013;Dead Man`s Boots;209;0
Sting;Folk;The Last Ship;2013;And Yet;232;0
Sting;Folk;The Last Ship;2013;August Winds;197;0
Sting;Folk;The Last Ship;2013;Language of Birds;210;0
Sting;Folk;The Last Ship;2013;Practical Arrangement;199;Coll33
Sting;Folk;The Last Ship;2013;The Night the Pugilist Learned How to Dance;253;0
